web-scraper-order,web-scraper-start-url,links,links-href,price,adresse,image-link-src,marque
"1738685345-11","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Vend hoverboard led venant des USA","https://www.dakarvente.com/annonce-913-vend-hoverboard-led-venant-des-usa.html","","","",""
"1738685353-12","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Sh 125 injection","https://www.dakarvente.com/annonce-981-sh-125-injection.html","","Offre d'un particulier à Plateau","media/annonces/pics/3f2353e92c3e1d282dea68b6bbdb2b74.jpeg","Sh 125 scooter tout neuf 10 000 km avec carte grise . Le scooter ne consomme rien plein 4700 fcfa pour 12 jours  contactez moi au 781264932"
"1738685359-13","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","SUPER MOTOS","https://www.dakarvente.com/annonce-1048-super-motos.html","1.250.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/eb56022d6a8013cae64a5150a0b9c3bf.jpg",""
"1738685366-14","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","TMAX 530 DX","https://www.dakarvente.com/annonce-1217-tmax-530-dx.html","4.500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/ea5badd663c7384eb8474729a16640a2.jpg","Je vends cette superbe TMAX 530 DX année 2018 à un prix cadeau.

Contact au 774581535."
"1738685373-15","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Liberty 4temps50","https://www.dakarvente.com/annonce-1231-liberty-4temps50.html","700.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/64a126180efdaee98e3edc44042c2018.jpg","Mot Liberty 4temps50 venant d'europe à vendre à bon prix.

Tel : 784313056"
"1738685380-16","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Scooter Tmax","https://www.dakarvente.com/annonce-1309-scooter-tmax.html","2.000.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/d05242e938425fe9002a6decdd1126fa.jpg","Tmax année 2015 à vendre. Contactez-moi au 779494878"
"1738685391-17","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Xc 300 versity","https://www.dakarvente.com/annonce-1308-xc-300-versity.html","550.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/e31e82b3e3e820c8e6d18f8b9c5016d0.jpg","Moto scooter xc 300 versity venant avec cmc. moteur très puissant, impeccable, pour vos déplacements vos travail vos loisirs, vos long voyages. Contact :766804043"
"1738685396-18","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Scooter  Typhon","https://www.dakarvente.com/annonce-1307-scooter-typhon.html","","Offre d'un particulier à Plateau","media/annonces/pics/55f695478d927e3399db181aa75a59d3.jpg","Moto scooter à vendre contactez moi pour plus d'infos au 772987261"
"1738685404-19","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","T-max 530 iron","https://www.dakarvente.com/annonce-1435-t-max-530-iron.html","4.000.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/ccd4ecb22b3fb8b33313220e22078a4b.jpg","Bonjour, je mets en vente mon tmax 530 iron max année 2015 avec démarrage sans clef . venant de france dans un état irréprochable avec 20 000 klms . le scooter dors au chaud carnet de suivis complet vario malossi mhr éclairage à led bulle sport origine tmax bull d'origine fourni marche pied alu tmax 2 pneus neuf carte grise à mn nom me contacter pour plus de renseignements ou plus de photos.

Contact au 778087843"
"1738685411-20","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda sh 125","https://www.dakarvente.com/annonce-1448-honda-sh-125.html","975.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/a6f26f0bf851b367f6d7b331099614c9.jpg","Scooter Honda sh 125 à vendre.

Tel : 776344587"
"1738685419-21","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Scooter honda arobase","https://www.dakarvente.com/annonce-1449-scooter-honda-arobase.html","250.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/37fd3ad1f88e4d4a401ccec3baed1fb7.jpg","Bonjour, je brade ma moto à un prix cadeau. Premier arrivé premier servi.

Dépêchez-vous.

Contact : 781778749"
"1738685427-22","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Typhoon","https://www.dakarvente.com/annonce-1521-typhoon.html","220.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/a32417e4ab620ff7258d962947c31aec.jpg","Typhoon energy neuve moteur 125  2 temps si tu es interessé appele moi"
"1738685436-23","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Tmax 500 injection en parfait état","https://www.dakarvente.com/annonce-1572-vends-tmax-500-injection-en-parfait-tat-contact-775152740.html","1.200.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/3a31d94713e909340dff48cfccf10360.jpg","Je vends tmax 500 injection en parfait état Contact 775152740"
"1738685443-24","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Scooter majesty","https://www.dakarvente.com/annonce-1608-scooter-majesty.html","500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/b9ca13aaf98409d8ca63422c9031aecf.jpg","Bonjour, je vends un scooter majesty nouveau modèle 250c il est en parfait état.

Tel : 770573086"
"1738685459-25","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Motocyclettes et tricycles","https://www.dakarvente.com/annonce-1667-motocyclettes-et-tricycles.html","350.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/5b5212ae986193b7588676e144165006.jpg","Vente de motos, tricycles vente: 1. produits automobiles: > motos, motocyclettes, scooters, mobylettes, jakarta, motos vitesse et tout terrain > tricycles cargo isothermes, tricycles bagages, > pièces de rechange motos et tricycles, > accessoires, casques... > sav: formation chauffeur, entretien, dépannage. -tous nos modèles sont neufs montés ou détachés. -capacité de livraison jusqu\'à 300 par mois. -option : assurance et mutation en 4 jours importantes réductions à partir de 5 unités. 2. matériel agricole: allant des décortiqueuses aux moissonneuses, des motos pompes aux tracteurs, en passant par les semoirs. disponibles partout au sénégal.

Tel : 777672682"
"1738685467-26","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Moto  Xc 300","https://www.dakarvente.com/annonce-1605-moto-xc-300.html","700.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/37cb84ea3e4c6ea71cc403457f5fe559.jpg","XC 300 CMC injection. Arrivée en fin Janvier."
"1738685479-27","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Tmax DX","https://www.dakarvente.com/annonce-1774-tmax-dx.html","","Offre d'un particulier à Plateau","media/annonces/pics/c9ee916dd3025600494abfc58292889d.jpg","Bonjour, je vends cette belle  Tmax DX venant.

Tel : 773456363"
"1738685488-28","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Moto","https://www.dakarvente.com/annonce-1782-moto.html","550.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/e0ec05eadee07a25f07e51acacfaa496.jpg","Moto à grande vitesse à vendre.

Tel : 782723634"
"1738685516-29","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha MT 07","https://www.dakarvente.com/annonce-1781-yamaha-mt-07.html","3.800.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/1592e23f45fd8bac0d5329265a49f43b.jpg","Moto yamaha mt 07 année 2018, neuve 0000km jamais roulé. vendu avec ces 3 clés et une garantie.

Contact au 772966418"
"1738685524-30","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto zip piaggio","https://www.dakarvente.com/annonce-1778-moto-zip-piaggio.html","200.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/4189bc89fdb8b7c50a516e350a44ab7b.jpg","Pour cause de double moto je vend mon scooter piagio année 2017 avec démarreur automatique et tableau de bord electronique et tous les papiers en règles.

Tel : 774973790"
"1738685531-31","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto apache","https://www.dakarvente.com/annonce-1779-moto-apache.html","400.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/9e42d1d896c5933244a1b2d07e28c70c.jpg","Bonjour. je vends ma moto apache moteur modifié dont la cylindrée est de 200cm3 prix négociable.

Tel : 781258874"
"1738685542-32","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","BMW gs 1200","https://www.dakarvente.com/annonce-1821-bmw-gs-1200.html","3.500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/12e95530b56af38518e64ee07d771534.jpg","Bonjour, à vendre : Bmw gs 1200 année 2016 5ml kilomètre état neuf.

Contact : 775030000"
"1738685551-33","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto bmw gs 1200","https://www.dakarvente.com/annonce-1757-moto-bmw-gs-1200.html","4.250.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/9a972f46c814e79972f834879a768275.jpg","Occasion unique bmw gs-1200 adventure 2017, équipé de la clé enduro pro, de phares additionnels, protections supplémentaires, pneus pirelli scorpio str mix, gps bmw navigator 5.

Tel : 776193502"
"1738685560-34","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Tmax 530","https://www.dakarvente.com/annonce-1841-tmax-530.html","1.400.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/885768015c7fa833af629015df2ae187.jpg","Bonjour, je mets en vente mon tmax 530 pour un cause de départ. pour ceux qui sont intéressé veuillez me contacter au 772968234"
"1738685571-35","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Liberty injection","https://www.dakarvente.com/annonce-1865-liberty-injection.html","325.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/80c4464529e043f8003e1ceeb35c051b.jpg","Bonjour, nous avons plusieurs Liberty 150 injection à vendre.  

TEl : 771040400"
"1738685582-36","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto scooter","https://www.dakarvente.com/annonce-1881-moto-scooter.html","500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/3c669aef26a7bb4b2dc043e147ec82f0.jpg","Bonjour nous vendons deux motos à un bon prix.

TEl : 775600503"
"1738685594-37","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Scooter sh","https://www.dakarvente.com/annonce-1932-scooter-sh.html","500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/a6c80b50dc4f316e108b369d4184af01.jpg","je vends mon scooter sh pour un besoin urgent d'argent. Le scooter est venant comme sur la photo j'ai égaré le cmc!

Tel : 771007762"
"1738685622-38","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Kawasaki z750","https://www.dakarvente.com/annonce-1975-kawasaki-z750.html","1.650.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/25840daef2521cb415e39667e1f0af39.jpg","Bonjour, je vend cette superbe kawasaki super puissante !!!! avec cmc en bon état. visible à keur massar.

Tel : 762204598 ou 775237278"
"1738685637-39","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Honda nc750x","https://www.dakarvente.com/annonce-1995-honda-nc750x.html","2.700.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/63b066899aa073a68914bba6510bd25d.jpg","Bonjour, je vends cette très belle honda nc750x automatique, vitesse séquentielle très fiable pour la circulation très faible consommation  venant d'europe jamais roulée au sénégal avec papier moteur en parfait état de marche.

Tel  : 776972163"
"1738685649-40","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto SH","https://www.dakarvente.com/annonce-2017-moto-sh.html","1.100.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/f44b671943880a06c33be135510dce70.jpg","Scooter Sh en très bon état à vendre.

Me contacter au 775230145"
"1738685659-41","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Tmax 500","https://www.dakarvente.com/annonce-2041-tmax-500.html","850.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/d5bb0b40393c5d360e6490fe5706f515.jpg","Pour cause de départ, je vends mon scooter tmax 500 ancien model, model sport avec pot d'échappement sport, moteur en parfait état, assurance et carte grise en règles bref tout est nickel."
"1738685670-42","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Ktm duke 125","https://www.dakarvente.com/annonce-2145-ktm-duke-125.html","1.580.000  FCFA","Offre d'un particulier à Fann","media/annonces/pics/329e217f128e284cb3a3870cefd3585b.jpg","ktm duke 125 2018 acheté neuf, 2000 km, pot akrapovic gp , abs, écran couleurs,phare led, bluetooth ""ktm my ride connecte"" pouvant répandre au appels lancer ou arrêter des sons augmenter ou diminuer le volume à partir du comodo de la moto""."
"1738685676-43","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Honda integra","https://www.dakarvente.com/annonce-2040-honda-integra.html","1.500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/538e2044e5856b1db99b8c39ef5b8467.jpg","Honda integra 750 modèle 2015. 6 vitesses automatique essence"
"1738685681-44","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha xcity 250","https://www.dakarvente.com/annonce-2176-yamaha-xcity-250.html","500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/ab9b3f44b971dc254016655eebc73b9a.jpg","Scooter yamaha xcity 250 à vendre, en très bon état avec ses papiers complets. merci de me contacter."
"1738685691-45","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Scooter suzuki","https://www.dakarvente.com/annonce-2192-scooter-suzuki.html","300.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/f2334c59b04bcf5e91bc06ce386de6b2.jpg","Suzuki burgman à vendre avec tous les papiers à un prix abordable."
"1738685706-46","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Suzuki burgman 200 injection","https://www.dakarvente.com/annonce-2190-suzuki-burgman-200-injection.html","550.000  FCFA","Offre d'un particulier à Golf","media/annonces/pics/e52140ef7f045d93a161351415fb28aa.jpg","Bonjour, je mets en vente une moto suzuki burgman 200 injection, de couleur noir, venant d'italie, avec papiers complets. merci de me contacter pour plus d'informations."
"1738685712-47","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Kawasaki z800","https://www.dakarvente.com/annonce-2206-kawasaki-z800.html","2.000.000  FCFA","Offre d'un particulier à Parcelles assainies","media/annonces/pics/a3e0021923a3d1d57ec389f1292146f0.jpg","Bonjour, à vendre kawasaki z800 très bon état rien à signaler, papiers disponible. prix à débattre"
"1738685719-48","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto tvs","https://www.dakarvente.com/annonce-2272-moto-tvs.html","900.000  FCFA","Offre d'un particulier à Fass","media/annonces/pics/4ccc3b7e264fa17a267e04905c03b0d8.jpg","Je vends ma moto tvs presque neuve, essence, avec tous ses papiers en règle, casque, bâche, carte à grise. merci de me contacter."
"1738685727-49","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Malaguty madison 150","https://www.dakarvente.com/annonce-2318-malaguty-madison-150.html","450.000  FCFA","Offre d'un particulier à Parcelles assainies","media/annonces/pics/1283dbe95e48edc5d62e6c67245e3ae3.png","Malaguty madison 150 venant avec ses papiers complets."
"1738685734-50","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha Tmax DX","https://www.dakarvente.com/annonce-2373-yamaha-tmax-dx.html","3.500.000  FCFA","Offre d'un particulier à Point E","media/annonces/pics/f76dee3759a5d9cc0ca373c346dc7091.jpg","Bonjour, je mets en vente ma moto yamaha tmax DX de 2018, en très bon état, encore neuve avec un très faible kilométrage. merci de me contacter."
"1738685742-51","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Scooter beverly","https://www.dakarvente.com/annonce-2327-scooter-beverly.html","580.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/7de9e87668579135066bf91fd31d43b0.jpg","Scooter beverly venant puissance 200cm3 avec papiers complets et assurance impeccable comme l'indique les photos."
"1738685750-52","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Kymco agility 125","https://www.dakarvente.com/annonce-2437-kymco-agility-125.html","200.000  FCFA","Offre d'un particulier à Parcelles assainies","media/annonces/pics/6ec12b987f5a1598ecfbeacab9aecba2.png","Bonjour, je vends ce kymco agility 125 avec cmc. merci de me contacter."
"1738685757-53","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha majesty 150","https://www.dakarvente.com/annonce-2438-yamaha-majesty-150.html","290.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/0d84bd7d2478aee270e5a02506351077.png","Salut , je vends une moto yamaha majesty 150, moteur jamais touché, déjà dédouanée."
"1738685766-54","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Bmw gs1200","https://www.dakarvente.com/annonce-2479-bmw-gs1200.html","3.100.000  FCFA","Offre d'un particulier à Hann Maristes","media/annonces/pics/fda291222122abcdd51b957d4bf16bb4.jpg","A vendre Bmw gs1200"
"1738685776-55","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha fz1","https://www.dakarvente.com/annonce-2456-yamaha-fz1.html","1.800.000  FCFA","Offre d'un particulier à Nord Foire","media/annonces/pics/26d0d27d95308990411012bba3f8d1ab.jpg","Yamaha 1000cc avec tous les papiers (carte grise assurance d'un an). aussi un sortie d'échappement sc project. prix légèrement négociable. merci de me contacter."
"1738685783-56","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha tmax 530","https://www.dakarvente.com/annonce-2515-yamaha-tmax-530.html","1.900.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/c8b25c713f7bae3e46003297cf26302f.jpg","Yamaha tmax 530 à vendre, en bon état très bien entretenu."
"1738685790-57","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Majesty Skyliner 125","https://www.dakarvente.com/annonce-2525-majesty-skyliner-125.html","300.000  FCFA","Offre d'un particulier à Parcelles assainies","media/annonces/pics/545adf3f35d33d46bbee4d9df9cf717d.jpeg","je vends ma moto majesty skilner 125. Moteur venant en bon etat, merci de me contacter 

numero whatsapp : 766582365"
"1738685797-58","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Majesty 250","https://www.dakarvente.com/annonce-2557-majesty-250.html","","Offre d'un particulier à Dakar","media/annonces/pics/2bcb6acd967dd80a5ac28197c0a1b9ed.jpg","A vendre majesty 250 avec tous les papiers en règle . carte gris et assurance jusqu'à la fin 2019. très puissant moteur impeccable.

Venez avec votre mécanicien si possible."
"1738685803-59","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha yz85 / yz450","https://www.dakarvente.com/annonce-2583-yamaha-yz85-yz450.html","2.400.000  FCFA","Offre d'un particulier à Hann Maristes","media/annonces/pics/4297f0b2c16b681318e2c764e58573c6.jpg","je vous cède deux motos. la yz85 pour enfant et la yz450 pour adulte, cross tout-terrains, très récents et bien préparés. prix pour les deux motos."
"1738685821-60","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha yz 125","https://www.dakarvente.com/annonce-2648-yamaha-yz-125.html","800.000  FCFA","Offre d'un particulier à Almadies","media/annonces/pics/7fb3c94dc10dcbc0f4303df31c2b69cd.jpg","Bonjour, je vends  un motocross yz 125cm3, 2 temps ( mélange ), état irréprochable, entretenu par mad bike, prix légèrement négociable, possibilité de venir tester sur place, pas sérieux s'abstenir, merci:!"
"1738685828-61","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Sh","https://www.dakarvente.com/annonce-2751-sh.html","390.000  FCFA","Offre d'un particulier à Parcelles assainies","media/annonces/pics/5814d7f88b032b373437d14510a5ea6d.jpg","Je vends dans un très bon etats a venre pour plus info appele moi"
"1738685834-62","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto bmw gs1200","https://www.dakarvente.com/annonce-2733-moto-bmw-gs1200.html","3.500.000  FCFA","Offre d'un particulier à Médina","media/annonces/pics/95e2ea514841f6833ccecc33ba1d0386.jpg","Bonjour, à vendre une moto gs1200 venant let's go."
"1738685840-63","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Mbk booster","https://www.dakarvente.com/annonce-2775-mbk-booster.html","195.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/aa15d3d988c8197b7ab9f081aee090ff.jpg","Salut, je vends mon scooter en très bon état ( piston changer, pot de compétition) et papier au complet faites vos offres( prix légèrement négociable)"
"1738685846-64","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto goccla venant d’Italie moteur 50 très puissant et tt les papiers en règle","https://www.dakarvente.com/annonce-2874-moto-goccla-venant-ditalie-moteur-50-trs-puissant-et-tt-les-papiers-en-rgle.html","180  FCFA","Offre d'un particulier à Fass","media/annonces/pics/a7110c1a2ef0af7fbf014d3df69e21d1.jpeg","Moto goccla 50cm3 venant d’italie avec tous les papiers avec une très faible consommation"
"1738685852-65","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha 250 tt","https://www.dakarvente.com/annonce-2823-yamaha-250-tt.html","1.600.000  FCFA","Offre d'un particulier à Mbour","media/annonces/pics/09ca6437edae43b5afed88af1ca5284d.jpg","Bonjour, à vendre une moto complètement remise à neuf, moteur, pneus, peinture, pot acrapovik etc ..."
"1738685858-66","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto bmw gs 1200","https://www.dakarvente.com/annonce-2833-moto-bmw-gs-1200.html","3.200.000  FCFA","Offre d'un particulier à Sacré Coeur","media/annonces/pics/3830d2e22231ccf14f70b4b8194ad9ca.jpg","Bonjour, je vends une belle moto bmw gs 1200, prix très intéressant."
"1738685865-67","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha tmax 530","https://www.dakarvente.com/annonce-2941-yamaha-tmax-530.html","1.850.000  FCFA","Offre d'un particulier à Mbao","media/annonces/pics/ac8bfdcd60c165afbfddf0a1b91f4269.jpeg","Bonjour, à vendre une yamaha tmax 530."
"1738685872-68","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Tmax 500","https://www.dakarvente.com/annonce-2982-tmax-500.html","1.200.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/e2884a4c0511fbd1a6f8b3f4f91846b7.jpg","Bonjour, je vends mon tmax 500 model 2010 avec carte grise et assurance en très bon état, rien à signaler. tout marche à la perfection."
"1738685900-69","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Yamaha yz 125","https://www.dakarvente.com/annonce-3038-yamaha-yz-125.html","800.000  FCFA","Offre d'un particulier à Almadies","media/annonces/pics/e7f5748532725c23b97790132c3df555.jpg","Bonjour, je vends  motocross yz 125cm3, 2 temps ( mélange ), état irréprochable, entretenu par mad bike, prix légèrement négociable, possibilité de venir tester sur place, pas sérieux s'abstenir, merci:!"
"1738685909-70","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Tmax 530","https://www.dakarvente.com/annonce-3032-tmax-530.html","2.800.000  FCFA","Offre d'un particulier à Dakar","media/annonces/pics/37104617c005b47ebe834c653f7b463a.jpg","Bonjour, je vends une Tmax 530 avec (cmc) venant d’europe en très bon état très propre et intéressant légèrement négociable ! merci"
"1738685915-71","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Kawasaki kx85","https://www.dakarvente.com/annonce-3081-kawasaki-kx85.html","800.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/0a11a74b5f7ae0000b07be7ad6863474.jpg","Bonjour, je vends une kawasaki kx85, année 2008, en excellent état. kit piston segment juste rodé, plaquettes de freins neuves, pneu av neuf, pneu ar quasi-neuf, kit chaîne quasi neuf. excellente moto cross pour enfant de 10 à 14 ans."
