web-scraper-order,web-scraper-start-url,links,links-href,price,marque,adresse,image-link-src
"1738685415-14","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Tecno spark 2","https://www.dakarvente.com/annonce-265-tecno-spark-2.html","64.900  FCFA","ecno spark 2 originale tout neuf scelle dans sa boite dual sim quad core 1.3ghz système android 8.1 très très rapide et puissant prend toutes les applications facebook whatsapp snapchat etc très large mémoire interne 16go ram 1go prend carte mémoire jusqu'à 256go écran très large et slim de 6 pouces superbe appareil photo très clair et nette très haute qualité images 13 mégapixels flash led auto focus détection sourire et visage et caméra frontal très clair et nette 8 mégapixels flash led auto focus pour de jolie selfie batterie très résistante dure des jours 3500mah très haute qualité superbe smartphone haut de gamme très performant connexion 3g 4g wifi très joli design avec verrouillage empreinte digital et visage à un prix imbattable promotionnel garantie 13 mois pochette taff et possibilité de livraison avec facture.

Tel : 776164045","Offre d'un particulier à Plateau","media/annonces/pics/4536f210e514c85d86298e11f7ff263b.png"
"1738685426-15","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy j4","https://www.dakarvente.com/annonce-267-samsung-galaxy-j4.html","105.000  FCFA","Samsung galaxy j4 2018 originale tout neuf scellé dans sa boite dual sim quad core 1.4ghz système android oreo 8.0 très très rapide et puissant prend toutes les applications très large mémoire interne 32go ram 2go prend carte mémoire jusqu'à 256go écran très très large ips lcd 5.5pouces superbe appareil photo très clair et nette très haute qualité images 13megapixels flash led auto focus détection sourire et visage et caméra frontal très clair et nette très haute qualité images 5megapixels flash led auto focus pour de jolie selfie batterie très résistante dure des jours 3000mah très jolie disign superbe smartphone haut de gamme très performant connexion 4g lte wi-fi très rapide à un prix imbattable promotionnel garantie 2ans avec possibilité de livraison avec facture.

Tel : 776164045","Offre d'un particulier à Plateau","media/annonces/pics/0086d33c2014997a88213f1f87877017.png"
"1738685431-16","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 5s 16gb gold","https://www.dakarvente.com/annonce-270-iphone-5s-16gb-gold.html","94.900  FCFA","Senegalstore vous propose des arrivages iphones 5s 16gb gold tout neuf venant des usa","Offre d'un particulier à Plateau","media/annonces/pics/77d0bd6ac35276e49277ce26777d8e5c.jpg"
"1738685437-17","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Invens f3","https://www.dakarvente.com/annonce-296-invens-f3.html","47.000  FCFA","Invens f3 originale tout neuf scelle dans sa boite dual sim octa core 1.3ghz système android nougat très très rapide et puissant prend toutes les applications facebook whatsapp snapchat etc très large mémoire 16go ram 1go prend carte mémoire jusqu'à 128go écran très très large de 5.5pouces super ips lcd très haute qualité images superbe appareil photo très clair et nette très haute qualité images 13mégapixels flash led auto focus détection sourire et visage et caméra frontal très clair et nette très haute qualité images 5 mégapixels flash led auto focus détection sourire et visage pour de jolie selfie batterie très résistante dure des jours 4000mah très jolie design superbe smartphone haut de gamme très performant connexion 4g lte avec lecteur empreinte digital à un prix imbattable promotionnel garantie 1an cover taff avec possibilité de livraison avec facture.","Offre d'un particulier à Plateau","media/annonces/pics/c4bcc6a1445c33727d86e255240e4a53.jpg"
"1738685456-18","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy s6 edge","https://www.dakarvente.com/annonce-298-samsung-galaxy-s6-edge.html","160.000  FCFA","Samsung galaxy s6 edge 32go disponible en couleur gold, noir, neuf scellé dans sa boite vendu avec la facture et la garantie plus possibilité de livraison.

vous pouvez nous retrouver au magasin qui se situe au fass colobane

Contact : 783713966","Offre d'un particulier à Plateau","media/annonces/pics/b09d788c7794fd2d16c632fa3e32d6ea.jpg"
"1738685462-19","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy j1 ace","https://www.dakarvente.com/annonce-315-samsung-galaxy-j1-ace.html","44.900  FCFA","Samsung galaxy j1 ace originale tout neuf scelle dans sa boite dual sim quad core 1.3ghz système android très très rapide et puissant prend toutes les applications facebook watshap snapchat etc très large mémoire interne 4go ram 512mo prend carte mémoire jusqu'à 128go écran large de 4.3pouces super amoled capacitive superbe appareil photo très clair et nette très haute qualité images 5megapixels flash led auto focus détection sourire et visage et caméra frontal très clair et nette très haute qualité images pour de jolie selfie batterie très résistante dure des jours très jolie disign superbe smartphone haut de gamme très performant connexion très rapide à un prix imbattable promotionnel garantie 2ans livraison gratuite avec facture. 

Tel : 773129219 / 776164045","Offre d'un particulier à Plateau","media/annonces/pics/b6d7220266fad3290bda735b1883d744.jpg"
"1738685468-20","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 7 plus","https://www.dakarvente.com/annonce-309-iphone-7-plus.html","320.000  FCFA","Stockage 32 go

apple shop vous offre son arrivage des iphone 7 plus 32 go quasi neuf venant des états unis débloqué tout opérateur

machine très propre fonctionne comme neuf disponible en couleurs gold silver rose gold et noir téléphone originale authentique garantie vendu avec facture

venez vite dans mon magasin apple shop ou faites-vous livrer gratuitement blindé et anti choc offert livraison gratuite

nb:apple shop travaille sur l'authenticité la garantie et le service après vente satisfait ou remboursé

merci de nous contacter pour plus d’informations ou d’autres modèles disponibles 

Tel ; 783870888","Offre d'un particulier à Plateau","media/annonces/pics/85e145bdb8bf070f84a0a14e60d66a08.jpg"
"1738685478-21","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Invens royal r7","https://www.dakarvente.com/annonce-312-invens-royal-r7.html","29.900  FCFA","Invens royal r7 original tout neuf scelle dans sa boite dual sim quad core 1.3ghz système android nougat 7.0 très très rapide et puissant prend toutes les applications whatsapp facebook snapchat etc très large mémoire interne 16go ram 1go prend carte mémoire jusqu'à 256go écran très large de 5pouces super ips lcd capacitive 16millions de couleurs superbe appareil photo très clair et nette très haute qualité images 5megapixels flash led auto focus détection sourire et visage pour de jolie selfies batterie très résistante dure des jours très jolie disign comme l iphone 7 superbe smartphone haut de gamme très performant connexion 4g lte très rapide à un prix imbattable promotionnel garantie 1an cover taff livraison gratuite avec facture. 

Tel : 

773129219 / 776164045","Offre d'un particulier à Plateau","media/annonces/pics/a59dce6a166671a24f67b00c9eff929e.jpg"
"1738685488-22","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Motorola e4 plus","https://www.dakarvente.com/annonce-314-motorola-e4-plus.html","89.900  FCFA","Motorola e4 plus original tout neuf scellé dans sa boite dual sim octa core 1.5ghz système android 7.0 très rapide et puissant. prend toutes les applications whatsapp viber imo snapchat etc... très large mémoire interne 16 go ram 3go. prend carte mémoire jusqu'à 256 go écran large de 5.5 pouces super amoled capacitive superbe appareil photo très clair et net très haute qualité images 13 megapixels flash led auto focus détection de sourires et visage et camera frontal très claire et nette très haute qualité image 5 mégapixels flash led auto focus pour de jolies selfies batterie très résistante 5000 mah très jolie design superbe smartphone haut de gamme très performant connexion 4g lte très rapide avec lecteur d'empreinte digitale à un prix imbattable promotionnel garantie 1 an, livraison gratuite avec facture. 

Contact au 773129219 ou 776164045","Offre d'un particulier à Plateau","media/annonces/pics/5ca6807ed1d73751ddc7f139c9880a48.jpg"
"1738685506-23","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy j7 pro 2017","https://www.dakarvente.com/annonce-316-samsung-galaxy-j7-pro-2017.html","149.900  FCFA","Nouveau smartphone samsung galaxy j7 pro 2017 mémoire

interne 32go ram 3go tout neuf dans sa boite android 7,0

dual sim taille d'écran 5,7 pouces appareil photo 13mp

devant et derrière +flash led réseau 3g 4g avec lecteur

empreinte digitale tres jolie désigne à un bon prix plus

la garantie de 12 mois livraison gratuite 

Tel :775880909","Offre d'un particulier à Plateau","media/annonces/pics/da0d17cf899db710d8c1d750e8dbef25.jpg"
"1738685513-24","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung Galaxy note 8","https://www.dakarvente.com/annonce-313-samsung-galaxy-note-8.html","340.000  FCFA","Samsung note 8 model européen 1 puce presque neuve avec sa boite et tout les accessoires qualité garantie

▶prix fixe

▶pas d’échange 

Tel : 781240909","Offre d'un particulier à Plateau","media/annonces/pics/a5bc854721d2c6216ce4f459e6110cf2.jpg"
"1738685518-25","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Tecno spark k7","https://www.dakarvente.com/annonce-317-tecno-spark-k7.html","57.000  FCFA","Nouveau smarphone tecno spark k7 orignal tout neuf

dans sa boite mémoire interne 16go ram 1go processeur

1,3ghz quad core système android 1,0 très puissant

prend toutes les applications whatshapp snapchat imo

etc écran 5,5 pouces appareil photo 13mp flash led

frontal 5mp flash led tres jolie désigne avec empreinte

digitale la batterie est 3000mah produit authentique et

garantie de 13 mois la livraison est gratuite 

tel : 775880909 / 774790000","Offre d'un particulier à Plateau","media/annonces/pics/bf7d0b71d76a3c28f7122a3eb4135489.png"
"1738685526-26","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 6 simple","https://www.dakarvente.com/annonce-379-iphone-6-simple.html","120.000  FCFA","Iphone 6 simple état propre avec tous les accessoires à bon prix

avec facture et garantie . Tel : 775855353","Offre d'un particulier à Plateau","media/annonces/pics/fd1a65d9dce2c23e36e775dfdce270c3.jpg"
"1738685533-27","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Lg v10","https://www.dakarvente.com/annonce-311-lg-v10.html","110.000  FCFA","Lg v10 64 go venant des usa au prix abordable appeler si intéressé. merci 

Tel : 775400414","Offre d'un particulier à Plateau","media/annonces/pics/1f0fe234425867db3b49a15ff1d8dced.jpg"
"1738685545-28","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Invens d4","https://www.dakarvente.com/annonce-377-invens-d4.html","34.900  FCFA","Invens d4 original tout neuf scellé dans sa boite dual sim quad core 1.3 ghz système android très très rapide et puissant prend toutes les applications facebook wathsapp snapchat etc très large mémoire interne 16go ram 2go prend carte mémoire jusqu'à 128go écran très très large ips lcd très haute qualité images superbe appareil photo très clair et nette 8 mégapixels flash led auto focus détection sourire et visage et caméra frontal très clair et nette très haute qualité images 5 mégapixels flash led auto focus pour de jolie selfie batterie très résistante dure des jours très jolie design superbe smartphone haut de gamme très performant connexion très rapide 3g 4g à un prix imbattable promotionnel garantie 1 an cover taff possibilité de livraison à domicile avec facture. 

contact : 773129219","Offre d'un particulier à Plateau","media/annonces/pics/edd311adc211fdce51e1c077593cbb0c.jpeg"
"1738685553-29","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung grand prime+","https://www.dakarvente.com/annonce-378-samsung-grand-prime.html","57.900  FCFA","Samsung galaxy grand prime plus 4g original tout neuf scellé dans sa boite dual sim quad core 1.5ghz systeme android marshalow très très rapide et puissant prend toutes les applications whatsapp viber imo facebook etc très large mémoire interne 8go ram 1.5go super amoled capacitif 16millions de couleur superbe appareil photo tres claire et nette tres haute qualité image 8megapixels flash led auto focus détection sourire et visage panorama et camera frontal tres claire et nette tres haute qualité image 5mégapixels flash led auto focus détection sourire et visage panorama pour de jolie selfie batterie très resistante dure des jours très joli design superbe smartphone haut de gamme très performant connexion 4g lte et 3g très rapide wifi bluetooth radio à un prix imbattable promotionnel garantie 24mois livraison gratuite avec facture. 

Contactez-nous au 773129219","Offre d'un particulier à Plateau","media/annonces/pics/dba15b4eeb7eb1bbe0b2ff8c040ea591.jpg"
"1738685561-30","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 7","https://www.dakarvente.com/annonce-310-iphone-7.html","230.000  FCFA","Stockage 32 gb - noir gold et silver

couleur : blanc

système ios 10

processeur apple a10

nombre de coeurs 4

fréquence processeur 2.34 ghz

puce graphique intégrée

mémoire vive (ram) 2 go

capacité 32 go

venant d’usa avec chargeur d’origine

facture garantie possible livraison

veuillez m’appler au 783870888","Offre d'un particulier à Plateau","media/annonces/pics/fd52827e805be3dadbc9ddad94254903.jpg"
"1738685574-31","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 6s 16go","https://www.dakarvente.com/annonce-411-iphone-6s-16go.html","125.000  FCFA","J'ai un lot de iphone 6s 16 go/ 32 go/ 64 go excellente condition, comme neufs, très propres, venant des usa.

c'est juste le téléphone, pas d'accessoires.

vente avec facturation et possibilite de livraison

je vous offre le meilleur prix.

l'appareil est ouvert pour tout opérateur national et international

appelez pour en savoir plus, merci.

TEl : 772053166","Offre d'un particulier à Plateau","media/annonces/pics/e237b902da194da011f7c226aa7153b2.jpg"
"1738685585-32","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Tecno spark k7","https://www.dakarvente.com/annonce-416-tecno-spark-k7.html","58.000  FCFA","Nous vous proposons des smartphones de type tecno spark k7 16 gb mémoire interne 1gb ram appareil photo 13 méga pixels original tout neuf à un très bon prix plus livraison gratuite et la garantie de 13 mois.

Tel : 771620303","Offre d'un particulier à Plateau","media/annonces/pics/ce6d4e6cdb3fac618d9977a2bb979189.png"
"1738685598-33","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Nokia 3","https://www.dakarvente.com/annonce-409-nokia-3.html","79.900  FCFA","Smartphone nokia 3, tout neuf dans sa boîte, 16go interne, port micro sd extensible, ram 2go, réseau 4g, écran de 5 pouces, batterie de 2630mah, camera principale de 8 mégapixel, caméra

frontale de 8 mégapixel, android 7.0

nb : produit authentique et garantie

Tel : 773891022","Offre d'un particulier à Plateau","media/annonces/pics/5bad42836e57971f3c013abd779c986f.jpg"
"1738685626-34","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy s6 edge","https://www.dakarvente.com/annonce-413-samsung-galaxy-s6-edge.html","160.000  FCFA","Samsung galaxy s6 edge 32go disponible en couleur gold, noir, neuf scellé dans sa boite vendu avec la facture et la garantie plus possibilité de livraison. 

vous pouvez nous retrouver au magasin qui se situe à fass colobane.

Tel : 783713966","Offre d'un particulier à Plateau","media/annonces/pics/43d1b41d97beaf2b8d143decf0705452.jpeg"
"1738685640-35","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 6 plus","https://www.dakarvente.com/annonce-418-iphone-6-plus.html","170.000  FCFA","Nous vous proposons 

▶produit: iphone 6 plus 64go noir sylver 

▶qualité : authentique / comme neuf 

▶chargeur original officielle 

▶camera : 14mp (5mp selfie)

▶capacité batterie : 3000mah

▶accessoires : chargeur / coque cilicone & blinde 3d

▶couleur : black 

▶officiels vente avec facture au magasin

Téléphone : 779687268","Offre d'un particulier à Plateau","media/annonces/pics/0bd7599ed8dc2659e520d980a0721e47.png"
"1738685650-36","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy j4","https://www.dakarvente.com/annonce-414-samsung-galaxy-j4.html","104.900  FCFA","Samsung galaxy j4 original tout neuf scellé dans boite dual sim octa core système androïde 8.0 très rapide et puissant et qui prend toutes les applications viber whatsapp facebook instagram etc... écran très large de 5.5 pouces mémoire interne 32 go ram 2 go et qui prend carte mémoire photo très clair et de 13 mégapixels plus flash les auto focus et une caméra frontale très claire et nette la batterie très résistant qui dure des jours très jolie d'ising produit authentique haut de gamme en promotion garantie vendu avec la facture avec possibilité de livraison.

Tel : 772095510","Offre d'un particulier à Plateau","media/annonces/pics/d4f28be1ab704d2f48a636a6be5ef446.jpeg"
"1738685659-37","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Infinix hot 3s","https://www.dakarvente.com/annonce-417-infinix-hot-3s.html","99.900  FCFA","nfinix hot 3s originale tout neuf scelle dans sa boite dual sim octa core 1.4vhz système android 8.0 très très rapide et puissant prend toutes les applications facebook whatsapp snapchat etc très large mémoire interne 32go ram 3go prend carte mémoire jusqu'à 128go écran très très large ips lcd très haute qualité images superbe appareil photo très clair et nette 13megapixels flash led auto focus détection sourire et visage et caméra frontal très clair et nette très haute qualité images 20 mégapixels flash led auto focus pour de jolie selfie batterie très résistante dure des jours 4000mah très jolie design superbe smartphone haut de gamme très performant connexion 4g lte très rapide avec lecteur empreinte digital à un prix imbattable promotionnel garantie 13mois avec possibilité de livraison avec facture.

Tel : 776164045","Offre d'un particulier à Plateau","media/annonces/pics/5e33683484b9e9f2026cf46e8dacf2a4.jpg"
"1738685682-38","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Samsung galaxy s6 32gb","https://www.dakarvente.com/annonce-446-samsung-galaxy-s6-32gb.html","120.000  FCFA","Je vends un samsung galaxy s6 32gb tout neuf dans leurs boites garantie facture à l'appuie et possibilité de faire la livraison.

Téléphone : 776081330","Offre d'un particulier à Plateau","media/annonces/pics/31c5a61ff1439fb1fbaf69239cbb42f3.jpg"
"1738685689-39","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Samsung galaxy s7 edge","https://www.dakarvente.com/annonce-420-samsung-galaxy-s7-edge.html","200.000  FCFA","Samsung galaxy s7 edge,noir,goldet silver tout neuf scellé dans leurs boîtes,vendus avec facture,garantie et possiblité de livraison.

Contact : 783713966","Offre d'un particulier à Plateau","media/annonces/pics/598f02216913e1119dc6e1eb9cd27850.jpg"
"1738685695-40","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Samsung galaxy s6 edge plus","https://www.dakarvente.com/annonce-438-samsung-galaxy-s6-edge-plus.html","175.000  FCFA","Samsung galaxy s6 edge plus 32go disponible en couleur gold, noir, neuf scellé dans sa boite vendu avec la facture et la garantie plus possibilité de livraison.

Téléphone: 783713966","Offre d'un particulier à Plateau","media/annonces/pics/6f0659a4d3cab077a99cdab905d6ecf0.png"
"1738685707-41","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Samsung galaxy j2","https://www.dakarvente.com/annonce-441-samsung-galaxy-j2.html","59.900  FCFA","Smartphone samsung galaxy j2, tout neuf dans sa boite, 8go interne, port micro sd extensible, ram 1go, réseau 3g+, écran de 4.7"" pouces, batterie de 2000mah, camera principale de 8 mégapixel, camera frontale de 2 mégapixel, android 5.1

nb : produit authentique et garantie .

Tel : 773891022","Offre d'un particulier à Plateau","media/annonces/pics/f092091d3ddeed9fe74c44eb02389d3b.jpg"
"1738685714-42","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Samsung galaxy s6 edge","https://www.dakarvente.com/annonce-448-samsung-galaxy-s6-edge.html","150.000  FCFA","Je vends des samsung galaxy s6 edge tout neuf dans leur boite vendu avec facture possibilité de faire la livraison

ps: pas d’échange. Contact au 776081330","Offre d'un particulier à Plateau","media/annonces/pics/f702be046d5de30bae428aae278d02cf.jpg"
"1738685725-43","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Tecno pouvoir 2 4g lte","https://www.dakarvente.com/annonce-466-tecno-pouvoir-2-4g-lte.html","79.900  FCFA","Tecno pouvoir 2 original tout neuf scellé dans sa boite dual sim quad core 1.3ghz système android 8.1 très rapide et puissant, prend toutes les applications facebook watshap snapchat etc . très large mémoire interne 16go ram 2go prend carte mémoire jusqu'à 256go écran très très large et slim de 6pouces 13megapixels flash led auto focus détection sourire et visage et caméra frontal très clair et nette très haute qualité images 8megapixels flash led auto focus pour de jolie selfie batterie très résistante dure 4jours 5000mah très joli design superbe smartphone haut de gamme très performant connexion 4g lte très rapide à un prix imbattable promotionnel garantie 13mois cover taff avec possibilité de livraison avec facture. 

Appel au 773129219","Offre d'un particulier à Plateau","media/annonces/pics/754a0df3fd8ca95ba7e31695cbbd977b.jpg"
"1738685730-44","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Tecno f2","https://www.dakarvente.com/annonce-468-tecno-f2.html","39.900  FCFA","Tecno f2 nouveau modèle originale toutes neuf scellé dans sa boîte dual sim quad core 1.5 ghz système android version 7.0 très rapide et puissant et qui prend toutes les applications viber whatsapp facebook imo ect écran très large de 5 pouces photo très claire et nette de 5 mégapixels plus flash led auto focus et suivie d une caméra frontale très claire et nette mémoire interne 8 go ram 1 go et qui prend carte mémoire jusqu'à 128 go très jolie desing produit authentique et haut de gamme en promotion garantie vendue avec la facture et possibilité de livraison a un prix imbattable 

Tel : 776214506","Offre d'un particulier à Plateau","media/annonces/pics/2352829a0aa968b90d61930e7ca1c80d.jpg"
"1738685737-45","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Tecno f2","https://www.dakarvente.com/annonce-470-tecno-f2.html","39.900  FCFA","Tecno f2 original tout neuf scellé dans sa boite dual sim quad core 1.3ghz système android nougat très très rapide et puissant prend toutes les applications facebook whatsapp snapchat etc très large mémoire interne de 8go ram 1go prend carte mémoire jusqu'à 256go écran ips lcd très large de 5pouces superbe appareil photo très clair et nette 5megapixels flash led auto focus détection sourire et visage et caméra frontal très clair et nette très haute qualité images pour de jolie selfie batterie très résistante dure des jours très jolie design superbe smartphone haut de gamme très performant connexion très rapide à un prix imbattable promotionnel garantie 13 mois cover taff avec possibilité de livraison avec facture. 

TEl : 773129219","Offre d'un particulier à Plateau","media/annonces/pics/8c1c43193389f15051ce7f8294f0f894.png"
